eans,sku,brand,title,categoryPath,url,price
8059591580592,90,Salugea,Succo di Acerola Bio,Settimana delle Difese Immunitarie > 13° Compleanno Salugea > Integratori Naturali adatti a Vegani e Vegetariani > Coupon applicabile > All products > Tutti meno programmi > Integratori per le Difese Immunitarie > Succhi Biologici Salugea > Integratori per il Sistema immunitario > Prodotti Singoli Meno Promo (tool) > Prodotti Naturali > Integratori per Bambini > Promo difese per custom promo > Tutti meno memosan > Integratori Naturali Salugea > Integratori Vitaminici,https://salugea.com/products/succo-di-acerola?variant=39254127476801&om=14641,23.36
8059591580608,91,Salugea,Succo di Aloe Vera Bio,"Coupon applicabile > Prodotti Singoli Meno Promo (tool) > Tutti meno programmi > 13° Compleanno Salugea > Integratori per la Pelle Naturali > Tutti meno memosan > Integratori Depurativi > Prodotti Naturali > Succhi Biologici Salugea > Integratori per il Sistema immunitario > Integratori Anticellulite > Remise en forme > Promo Stomaco e Intestino > Integratori Naturali Salugea > Depurazione 100% Naturale > Beauty Week | Benessere dentro, Bellezza fuori > All products > Integratori Naturali adatti a Vegani e Vegetariani",https://salugea.com/products/succo-di-aloe-vera?variant=39254130688065&om=14641,19.84
8059591580615,92,Salugea,Succo di Aronia Bio,Prodotti Naturali > Tutti meno programmi > Coupon applicabile > 13° Compleanno Salugea > Integratori Naturali adatti a Vegani e Vegetariani > Tutti meno memosan > Integratori Naturali Salugea > Prodotti Singoli Meno Promo (tool) > Integratori per la Mente 100% Naturali > Promo Gambe Leggere > All products > Succhi Biologici Salugea > Integratori per le Ossa e le Articolazioni 100% Naturali,https://salugea.com/products/succo-di-aronia?variant=39254138585153&om=14641,23.36
8059591580622,93,Salugea,Succo di Cranberry Bio,Integratori per l'apparato urinario > Tutti meno programmi > Integratori Naturali Salugea > Tutti meno memosan > Integratori Naturali adatti a Vegani e Vegetariani > Succhi Biologici Salugea > 13° Compleanno Salugea > Coupon applicabile > Integratori a base di Mirtillo Rosso Americano (Cranberry) > Integratori per le Vie Urinarie > Prodotti Singoli Meno Promo (tool) > Prodotti Naturali > All products,https://salugea.com/products/succo-di-cranberry?variant=39254141272129&om=14641,23.04
8059591580639,94,Salugea,Succo di Goji Bio,Prodotti Singoli Meno Promo (tool) > Integratori Naturali Salugea > Integratori a base di Goji > Promo Energia Salugea > 13° Compleanno Salugea > Integratori Energizzanti Naturali > Integratori Naturali adatti a Vegani e Vegetariani > Tutti meno programmi > Tutti meno memosan > All products > Integratori per la Stanchezza > Integratori per l'abbronzatura > Integratori per il Sistema immunitario > Prodotti Naturali > Succhi Biologici Salugea > Coupon applicabile > Integratori per Donne > Giornata della Felicità,https://salugea.com/products/succo-di-goji?variant=39254145990721&om=14641,25.12
8059591580646,95,Salugea,Succo di Mangostano Bio,Tutti meno memosan > Integratori Naturali Salugea > Succhi Biologici Salugea > Prodotti Naturali > All products > Coupon applicabile > Integratori per l'apparato digerente > Prodotti Singoli Meno Promo (tool) > Promo Stomaco e Intestino > Tutti meno programmi > Integratori Naturali adatti a Vegani e Vegetariani > Integratori per la Digestione 100% Naturali > 13° Compleanno Salugea,https://salugea.com/products/succo-di-mangostano?variant=39254144483393&om=14641,24.64
8059591580653,96,Salugea,Succo di Maqui Bio,"Giornata della Felicità > Prodotti Naturali > Remise en forme > Prodotti Singoli Meno Promo (tool) > 13° Compleanno Salugea > Integratori Antiossidanti e Antiaging > Beauty Week | Benessere dentro, Bellezza fuori > Integratori Anticellulite > Addio stress da rientro - Oggi fino al 20% di sconto! > Integratori per la Mente 100% Naturali > Tutti meno programmi > Integratori per la Pelle Naturali > Integratori contro lo Stress 100% Naturali > Promo Energia Salugea > Tutti meno memosan > Integratori a base di Maqui > Succhi Biologici Salugea > All products > Integratori per muscoli e nervi > Integratori Naturali adatti a Vegani e Vegetariani > Integratori Naturali Salugea > Integratori per Donne > Coupon applicabile > Integratori per Sportivi",https://salugea.com/products/succo-di-maqui?variant=39254171680833&om=14641,26.24
8059591580660,97,Salugea,Succo di Melograno Bio,Integratori a base di Melograno > Succhi Biologici Salugea > Tutti meno programmi > Integratori per Capelli > Prodotti Naturali > Integratori per l'apparato osteo-articolare > Integratori per Donne > Integratori per la Menopausa Naturali al 100% > All products > Integratori Naturali Salugea > Integratori Naturali adatti a Vegani e Vegetariani > Coupon applicabile > Integratori per l'apparato riproduttivo > Prodotti Singoli Meno Promo (tool) > Tutti meno memosan > 13° Compleanno Salugea > Integratori per la Pelle Naturali,https://salugea.com/products/succo-di-melograno?variant=39254172237889&om=14641,21.28
8059591580677,98,Salugea,Succo di Noni Bio,Succhi Biologici Salugea > Integratori per Uomini > 13° Compleanno Salugea > Prodotti Naturali > Integratori Naturali adatti a Vegani e Vegetariani > Integratori per il Sistema Nervoso > Tutti meno memosan > Integratori Naturali Salugea > Addio stress da rientro - Oggi fino al 20% di sconto! > All products > Tutti meno programmi > Coupon applicabile > Integratori contro lo Stress 100% Naturali > Prodotti Singoli Meno Promo (tool),https://salugea.com/products/succo-di-noni?variant=39254173352001&om=14641,22.72
8059591580684,99,Salugea,Succo di Olivello Spinoso Bio,Settimana delle Difese Immunitarie > Tutti meno programmi > All products > Integratori per l'abbronzatura > Succhi Biologici Salugea > Integratori per la Digestione 100% Naturali > Integratori per l'apparato digerente > Integratori Naturali Salugea > Prodotti Naturali > Promo Stomaco e Intestino > Integratori Naturali adatti a Vegani e Vegetariani > Coupon applicabile > Tutti meno memosan > 13° Compleanno Salugea > Prodotti Singoli Meno Promo (tool),https://salugea.com/products/succo-di-olivello-spinoso?variant=39254174335041&om=14641,21.6
